typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/kg)
PrimaryValue/weight"
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,704,VNM,Viet Nam,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,118072,FALSE,8,kg,118072,FALSE,"118,072",FALSE,0,FALSE,,"$3,475,427.00","$3,475,427.00",0,TRUE,FALSE,$29.43
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,764,THA,Thailand,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,448,FALSE,8,kg,448,FALSE,448,FALSE,0,FALSE,,"$22,535.00","$22,535.00",0,TRUE,FALSE,$50.30
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,350,FALSE,8,kg,350,FALSE,350,FALSE,0,FALSE,,"$15,706.00","$15,706.00",0,TRUE,FALSE,$44.87
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,54556.95,FALSE,8,kg,54556.95,FALSE,"54,557",FALSE,0,FALSE,,"$2,221,285.00","$2,221,285.00",0,TRUE,FALSE,$40.71
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,882,WSM,Samoa,0,W00,World,H5,HS,TRUE,030781 (³ÃÀå),"Molluscs; abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50,FALSE,8,kg,50,FALSE,50,FALSE,0,FALSE,,"$1,292.00","$1,292.00",0,TRUE,FALSE,$25.84
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,105192.71,FALSE,8,kg,105192.71,FALSE,"105,193",FALSE,0,FALSE,,"$2,624,159.00","$2,624,159.00",0,FALSE,TRUE,$24.95
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,36,AUS,Australia,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2461.4,FALSE,8,kg,2461.4,FALSE,"2,461",FALSE,0,FALSE,,"$73,880.00","$73,880.00",0,TRUE,FALSE,$30.02
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,124,CAN,Canada,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2063.75,FALSE,8,kg,2063.75,FALSE,"2,064",FALSE,0,FALSE,,"$87,002.00","$87,002.00",0,TRUE,FALSE,$42.16
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,276,DEU,Germany,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31.2,FALSE,8,kg,31.2,FALSE,31,FALSE,0,FALSE,,"$1,698.00","$1,698.00",0,TRUE,FALSE,$54.42
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,316,GUM,Guam,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250.8,FALSE,8,kg,250.8,FALSE,251,FALSE,0,FALSE,,"$10,399.00","$10,399.00",0,TRUE,FALSE,$41.46
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1933.57,FALSE,8,kg,1933.57,FALSE,"1,934",FALSE,0,FALSE,,"$100,896.00","$100,896.00",0,TRUE,FALSE,$52.18
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,368,IRQ,Iraq,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,70,FALSE,8,kg,70,FALSE,70,FALSE,0,FALSE,,"$3,083.00","$3,083.00",0,TRUE,FALSE,$44.04
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,392,JPN,Japan,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14377.7,FALSE,8,kg,14377.7,FALSE,"14,378",FALSE,0,FALSE,,"$371,460.00","$371,460.00",0,TRUE,FALSE,$25.84
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,417,KGZ,Kyrgyzstan,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.25,FALSE,8,kg,2.25,FALSE,2,FALSE,0,FALSE,,$40.00,$40.00,0,TRUE,FALSE,$17.78
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,458,MYS,Malaysia,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,73.5,FALSE,8,kg,73.5,FALSE,74,FALSE,0,FALSE,,"$2,400.00","$2,400.00",0,TRUE,FALSE,$32.65
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,490,S19,"Other Asia, nes",0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4506.2,FALSE,8,kg,4506.2,FALSE,"4,506",FALSE,0,FALSE,,"$145,785.00","$145,785.00",0,TRUE,FALSE,$32.35
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,643,RUS,Russian Federation,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21667,FALSE,8,kg,21667,FALSE,"21,667",FALSE,0,FALSE,,"$43,092.00","$43,092.00",0,TRUE,FALSE,$1.99
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,702,SGP,Singapore,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,170.88,FALSE,8,kg,170.88,FALSE,171,FALSE,0,FALSE,,"$7,202.00","$7,202.00",0,TRUE,FALSE,$42.15
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,704,VNM,Viet Nam,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,276,FALSE,8,kg,276,FALSE,276,FALSE,0,FALSE,,"$3,101.00","$3,101.00",0,TRUE,FALSE,$11.24
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,764,THA,Thailand,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,690,FALSE,8,kg,690,FALSE,690,FALSE,0,FALSE,,"$43,043.00","$43,043.00",0,TRUE,FALSE,$62.38
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,784,ARE,United Arab Emirates,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67,FALSE,8,kg,67,FALSE,67,FALSE,0,FALSE,,"$4,426.00","$4,426.00",0,TRUE,FALSE,$66.06
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,842,USA,USA,0,W00,World,H5,HS,TRUE,030783 (³Ãµ¿),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,56551.46,FALSE,8,kg,56551.46,FALSE,"56,551",FALSE,0,FALSE,,"$1,726,652.00","$1,726,652.00",0,TRUE,FALSE,$30.53
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,241986.82,FALSE,8,kg,241986.82,FALSE,"241,987",FALSE,0,FALSE,,"$636,902.00","$636,902.00",0,FALSE,TRUE,$2.63
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,36,AUS,Australia,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1323.71,FALSE,8,kg,1323.71,FALSE,"1,324",FALSE,0,FALSE,,"$16,200.00","$16,200.00",0,TRUE,FALSE,$12.24
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,50,BGD,Bangladesh,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,164.04,FALSE,8,kg,164.04,FALSE,164,FALSE,0,FALSE,,"$2,006.00","$2,006.00",0,TRUE,FALSE,$12.23
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,76,BRA,Brazil,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27.12,FALSE,8,kg,27.12,FALSE,27,FALSE,0,FALSE,,$202.00,$202.00,0,TRUE,FALSE,$7.45
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,116,KHM,Cambodia,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38.45,FALSE,8,kg,38.45,FALSE,38,FALSE,0,FALSE,,$549.00,$549.00,0,TRUE,FALSE,$14.28
C,A,20210101,2021,52,2021,410,KOR,Rep. of Korea,X,Export,124,CAN,Canada,0,W00,World,H5,HS,TRUE,030799 (°ÇÀüº¹),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,325.44,FALSE,8,kg,325.44,FALSE,325,FALSE,0,FALSE,,"$3,857.00","$3,857.00",0,TRUE,FALSE,$11.85
