typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,"Unit Price ($/kg)
PrimaryValue/weight"
C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3423.8,FALSE,8,kg,3423.8,FALSE,"3,424",FALSE,26478.5,FALSE,"$112,115.98 ","$106,969.23 ","$112,115.98 ",0,FALSE,TRUE,$32.75 
C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5020.8,FALSE,8,kg,5020.8,FALSE,"5,021",FALSE,7060,FALSE,"$156,459.18 ","$155,276.09 ","$156,459.18 ",0,FALSE,TRUE,$31.16 
C,A,20210101,2021,52,2021,36,AUS,Australia,M,Import,554,NZL,New Zealand,0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5516.4,FALSE,8,kg,5516.4,FALSE,"5,516",FALSE,0,FALSE,"$319,024.12 ","$297,459.53 ","$319,024.12 ",0,FALSE,TRUE,$57.83 
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1270,FALSE,8,kg,1270,FALSE,"1,270",FALSE,0,FALSE,"$41,126.14 ",$0.00 ,"$41,126.14 ",0,FALSE,TRUE,$32.38 
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,105,FALSE,8,kg,105,FALSE,105,FALSE,0,FALSE,"$10,561.06 ",$0.00 ,"$10,561.06 ",0,TRUE,FALSE,$100.58 
C,A,20210101,2021,52,2021,96,BRN,Brunei Darussalam,M,Import,702,SGP,Singapore,0,W00,World,H5,HS,TRUE,030781 (냉동),"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1165,FALSE,8,kg,1165,FALSE,"1,165",FALSE,0,FALSE,"$30,565.08 ",$0.00 ,"$30,565.08 ",0,TRUE,FALSE,$26.24 
C,A,20210101,2021,52,2021,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15632.67,FALSE,8,kg,15632.67,FALSE,"15,633",FALSE,0,FALSE,"$129,740.19 ",,"$129,740.19 ",0,FALSE,TRUE,$8.30 
C,A,20210101,2021,52,2021,20,AND,Andorra,M,Import,251,FRA,France,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7727.05,FALSE,8,kg,7727.05,FALSE,"7,727",FALSE,0,FALSE,"$87,529.65 ",,"$87,529.65 ",0,TRUE,FALSE,$11.33 
C,A,20210101,2021,52,2021,20,AND,Andorra,M,Import,724,ESP,Spain,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7905.62,FALSE,8,kg,7905.62,FALSE,"7,906",FALSE,0,FALSE,"$42,210.54 ",,"$42,210.54 ",0,TRUE,FALSE,$5.34 
C,A,20210101,2021,52,2021,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H5,HS,TRUE,030781 (건조),"Molluscs; n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12758,FALSE,8,kg,12758,FALSE,"12,758",FALSE,0,FALSE,"$14,396.16 ","$13,074.03 ","$14,396.16 ",0,FALSE,TRUE,$1.13 
