keyword,weight
2008,0.146127528809198
added,0.146127528809198
containing,0.146127528809198
edible,0.146127528809198
preserved,0.146127528809198
heading,0.146127528809198
matter,0.146127528809198
nuts,0.146127528809198
fruit,0.146127528809198
spirit,0.146127528809198
sugar,0.146127528809198
sweetening,0.146127528809198
parts,0.146127528809198
plants,0.146127528809198
prepared,0.146127528809198
algae,0.13725882453864569
consumption,0.13725882453864569
fit,0.13725882453864569
dried,0.13725882453864569
chilled,0.13725882453864569
ground,0.13725882453864569
human,0.13725882453864569
fresh,0.13725882453864569
frozen,0.13725882453864569
seaweeds,0.13725882453864569
