,qty_tons,primary_value_usd,unit_price_usd_kg,net_wgt_kg,refYear
qty_tons,1.0,0.9181701450960529,-0.06750085334520323,0.9999999999999675,0.010652627200769224
primary_value_usd,0.9181701450960529,1.0,-0.029875267785775688,0.9181701421238893,0.039353659142482664
unit_price_usd_kg,-0.06750085334520323,-0.029875267785775688,1.0,-0.06750085491657477,0.10095302037943621
net_wgt_kg,0.9999999999999675,0.9181701421238893,-0.06750085491657477,1.0,0.010652616918342666
refYear,0.010652627200769224,0.039353659142482664,0.10095302037943621,0.010652616918342666,1.0
