partnerDesc,total_val,mean_price,std_price,cv_pct
Belgium,6280472.0,31.026999999999997,38.97909783175821,125.62960592953947
New Zealand,24104962.0,18.656,12.759186842776812,68.39186772500435
Canada,149368831.0,17.894,11.786575414428059,65.86886897523226
Cambodia,5206177.0,14.578999999999999,8.081097903956698,55.42971331337333
Australia,113552964.0,14.887,7.448127355994332,50.0310832000694
Philippines,89792064.0,15.122,6.967117688749695,46.072726416807924
Türkiye,6005845.0,28.008,12.544209642522544,44.78795216553322
Germany,66323710.0,19.238,8.540747820497531,44.39519607286376
China,576435425.0,14.393,6.322578675754942,43.92815032137109
United Arab Emirates,9383543.0,25.063,10.649389184361702,42.490480726017246
USA,1063230506.0,17.641,7.356526127641135,41.70129883590009
Chile,6756360.0,18.16,7.519163665077536,41.405086261440175
Brazil,18200077.0,18.934,7.441887753341442,39.30436121971819
Sweden,7118671.0,14.472999999999999,5.460512898172762,37.72896357474444
Japan,1004048561.0,16.057,5.739338037710543,35.74352642280964
Netherlands,46259991.0,17.747,6.325609412890149,35.643260341974134
United Kingdom,68892539.0,17.695,6.2759598646121235,35.46741941007134
Indonesia,119173984.0,23.837,8.013049149148323,33.61601354678996
Poland,37551926.0,24.012,8.004205561245081,33.334189410482594
Lithuania,16684193.0,25.845,7.745434856165992,29.96879418133485
Italy,6630273.0,25.244444444444444,7.1672538519141185,28.39141050494149
Thailand,347140580.0,20.625999999999998,5.611882631226947,27.207808742494656
"China, Hong Kong SAR",46901788.0,16.884,4.476919079505955,26.51574910865882
Mongolia,23115034.0,12.095,2.855848774396541,23.61181293424176
Spain,10438197.0,24.741,5.785469250151144,23.38413665636451
Singapore,34668277.0,19.764000000000003,4.155152624553437,21.023844487722304
Mexico,29256014.0,25.552,5.336438262861601,20.884620627980592
Malaysia,29088944.0,15.24,3.1428154398387584,20.62214855537243
Russian Federation,335353220.0,23.518,4.8397010926984585,20.578710318472908
France,35513052.0,21.381999999999998,4.314406873101639,20.17775172154915
Ukraine,19081770.0,25.604000000000003,5.038523152229786,19.678656273354886
Viet Nam,194484023.0,17.344,3.1358684779676436,18.08042249750717
Kazakhstan,12643737.0,22.854,4.064215654820606,17.783388705787196
"Other Asia, nes",198981269.0,22.367,3.5360682811406354,15.809309613004135
Israel,11318483.0,38.382,3.8026388498281323,9.907349408129155
