refYear,total_val_usd,total_val_m_usd,total_qty_tons,total_qty_k_tons,avg_unit_price
2021,807729615.0,807.729615,49717.093182000004,49.717093182,22.12033816425121
2022,750118321.0,750.118321,49666.67328,49.666673280000005,20.989191919191917
2023,902025841.0,902.025841,54892.539669,54.89253966900001,20.591238938053095
2024,1113038132.0,1113.038132,56636.099371000004,56.636099370999986,24.264345794392522
2025,1250975129.0,1250.975129,58648.991627999996,58.648991628000005,26.769766355140188
