item_label,count,mean,std,min,25%,50%,75%,max
마른김 (HS 121221),459.0,19.633899782135074,19.259934141703937,0.2,10.004999999999999,16.04,22.990000000000002,242.75
조미김 (HS 200899),600.0,25.496216666666665,15.796978436796383,0.03,16.54,24.955,33.095,187.79
