수집 구동 시기 (Execution Timestamp),조사 대상 국가 (Target Countries),우선순위 모드 (Priority Mode),시점별 국가별 신규 수집 내역 (Execution Breakdown),신규 추가 수 (New Added),누적 총 기업 수 (Total Accumulated),상태 (Status)
2026-07-29 19:16:39,"Japan, United States, Hong Kong, China, Taiwan, Singapore, Canada, Vietnam, Thailand, Australia",표1~3 전체 Laver 유망 국가 순차 소싱,"Japan: +2개, United States: +1개",+3개사,3개사,정상 완료 (Success)
2026-07-29 19:16:46,"Japan, United States, Hong Kong, China, Taiwan, Singapore, Canada, Vietnam, Thailand, Australia",표1~3 전체 Laver 유망 국가 순차 소싱,"Japan: +2개, United States: +1개",+3개사,3개사,정상 완료 (Success)
