year,exporter,importer,hs_code,trade_value,trade_weight,unit_price
2023,,,030781,5605.259,862.0,6.5026206496519725
2023,,,030781,30104.419,2330.0,12.920351502145923
2023,,,030781,17488.496,400.0,43.721239999999995
2023,,,030781,7846.927,722.0,10.868319944598337
2023,,,030781,87.224,14.0,6.230285714285714
2023,,,030781,3832.423,585.0,6.551150427350427
2023,,,030781,247.499,38.0,6.513131578947369
2023,,,030781,123.204,19.0,6.484421052631578
2023,,,030781,11325.001,1392.0,8.13577658045977
2023,,,030781,383.787,58.0,6.61701724137931
2023,,,030781,80106.908,10698.0,7.4880265470181335
2023,,,030781,3441.003,527.0,6.529417457305503
2023,,,030781,478.644,73.0,6.556767123287671
2023,,,030781,281.299,43.0,6.541837209302325
2023,,,030781,6199.476,949.0,6.532640674394099
2023,,,030781,355.44,54.0,6.582222222222222
2023,,,030781,11443.844,1410.0,8.116201418439715
2023,,,030781,478.644,73.0,6.556767123287671
2023,,,030781,11325.001,1392.0,8.13577658045977
2023,,,030781,123.204,19.0,6.484421052631578
2023,,,030781,3441.003,527.0,6.529417457305503
2023,,,030781,7846.927,722.0,10.868319944598337
2023,,,030781,2863.142,161.0,17.78349068322981
2023,,,030781,3832.423,585.0,6.551150427350427
2023,,,030781,118.843,18.0,6.602388888888889
2023,,,030781,23913.665,3660.0,6.53378825136612
2023,,,030781,5605.259,862.0,6.5026206496519725
2023,,,030781,3441.003,527.0,6.529417457305503
2023,,,030781,18181.931,2415.0,7.528749896480331
2023,,,030781,432.851,66.0,6.5583484848484845
2023,,,030781,247.499,38.0,6.513131578947369
2023,,,030781,88093.394,11643.0,7.566210942197028
2023,,,030781,22014.354,3000.0,7.338118
2023,,,030781,59188.311,1510.0,39.19755695364238
2023,,,030781,76676.808,1910.0,40.14492565445026
2023,,,030781,66.509,10.0,6.6509
2023,,,030781,9384.257,579.0,16.207697754749567
2023,,,030781,433.941,67.0,6.476731343283582
2023,,,030781,281.299,43.0,6.541837209302325
2023,,,030781,27547.653,3940.0,6.9917901015228425
2023,,,030781,9471.482,593.0,15.97214502529511
2023,,,030781,40283330.38,770748.1,52.265234750497605
2023,,,030781,123450.0,8000.0,15.43125
2023,,,030781,749744.96,39436.81,19.011298327628428
2023,,,030781,873194.96,47436.81,18.407539630088955
2023,,,030781,58594.335,1495.0,39.193535117056854
2023,,,030781,529.665,9.0,58.85166666666666
2023,,,030781,23894.21,362.0,66.0061049723757
2023,,,030781,14227.629,273.0,52.115857142857145
2023,,,030781,23364.544,353.0,66.18850991501417
2023,,,030781,96960.635,2136.0,45.39355571161048
2023,,,030781,244.461,6.0,40.743500000000004
2023,,,030781,3678.767,136.0,27.049757352941175
2023,,,030781,244.461,6.0,40.743500000000004
2023,,,030781,876033.0,100221.0,8.74101236267848
2023,,,030781,18317.0,824.0,22.229368932038835
2023,,,030781,52407794.0,2558987.0,20.479898491082604
2023,,,030781,4596438.0,196182.0,23.4294583600942
2023,,,030781,7535.0,328.0,22.972560975609756
2023,,,030781,8616.0,627.0,13.741626794258373
2023,,,030781,289973.0,6749.0,42.96532819676989
2023,,,030781,37282.0,3000.0,12.427333333333333
2023,,,030781,20.0,5.0,4.0
2023,,,030781,523.347,20.0,26.16735
2023,,,030781,304.195,18.0,16.899722222222223
2023,,,030781,6541.832,200.0,32.709160000000004
2023,,,030781,12821.99,440.0,29.140886363636362
